,0,1,2,3,4,5,6,7,8,9,10,11,12
0,218.0,84458,1692,79596,4644,750.0,1.0,-23.0,7.0,30.0,0.0,-10.0,05-13
1,231.0,84451,1691,79576,4644,760.0,1.0,-43.0,1.0,43.0,1.0,-20.0,05-12
3,267.0,84450,1690,79539,4644,780.0,7.0,-32.0,20.0,51.0,1.0,-14.0,05-11
4,282.0,84435,1683,79510,4643,794.0,2.0,-114.0,19.0,133.0,0.0,-42.0,05-10
6,372.0,84416,1681,79401,4643,836.0,1.0,-76.0,1.0,77.0,0.0,-18.0,05-09
7,449.0,84416,1680,79324,4643,854.0,0.0,-49.0,7.0,56.0,0.0,-26.0,05-08
8,498.0,84409,1680,79268,4643,880.0,2.0,-61.0,3.0,64.0,0.0,-23.0,05-07
9,559.0,84406,1678,79204,4643,903.0,2.0,-76.0,2.0,78.0,0.0,-44.0,05-06
10,634.0,84404,1676,79127,4643,947.0,1.0,-107.0,4.0,111.0,0.0,-15.0,05-05
11,741.0,84400,1675,79016,4643,962.0,3.0,-70.0,7.0,77.0,0.0,-6.0,05-04
13,785.0,84393,1672,78965,4643,968.0,1.0,-55.0,5.0,60.0,0.0,-21.0,05-03
16,838.0,84391,1671,78910,4643,981.0,1.0,-59.0,6.0,65.0,0.0,0.0,05-02
18,899.0,84387,1670,78845,4643,981.0,6.0,-46.0,14.0,60.0,0.0,-17.0,05-01
20,915.0,84373,1664,78815,4643,998.0,4.0,-82.0,4.0,86.0,0.0,5.0,04-30
22,984.0,84369,1660,78742,4643,993.0,21.0,-56.0,22.0,78.0,0.0,-4.0,04-29
23,1040.0,84367,1639,78684,4643,997.0,3.0,-100.0,26.0,126.0,0.0,23.0,04-28
25,1102.0,84341,1636,78596,4643,974.0,2.0,-144.0,3.0,146.0,1.0,-26.0,04-27
28,1227.0,84338,1634,78469,4642,1000.0,5.0,-93.0,14.0,107.0,0.0,17.0,04-26
71,1286.0,84330,1629,78402,4642,983.0,11.0,-147.0,19.0,166.0,0.0,4.0,04-25
111,1383.0,84313,1618,78288,4642,979.0,2.0,-130.0,11.0,141.0,0.0,-5.0,04-24
145,1473.0,84305,1616,78190,4642,984.0,6.0,-130.0,18.0,148.0,0.0,-7.0,04-23
177,1557.0,84294,1610,78095,4642,991.0,23.0,-117.0,44.0,161.0,0.0,-1.0,04-22
226,1620.0,84278,1587,78016,4642,992.0,4.0,-80.0,41.0,121.0,0.0,2.0,04-21
254,1649.0,84239,1583,77948,4642,990.0,8.0,-85.0,38.0,123.0,0.0,-9.0,04-20
298,1704.0,84225,1575,77879,4642,999.0,9.0,-90.0,45.0,135.0,0.0,-18.0,04-19
337,1751.0,84185,1566,77792,4642,1017.0,17.0,-121.0,36.0,157.0,0.0,-21.0,04-18
385,1796.0,84156,1549,77718,4642,1038.0,15.0,-145.0,359.0,-786.0,1290.0,6.0,04-17
451,1891.0,83799,1534,78556,3352,1032.0,34.0,-113.0,54.0,167.0,0.0,9.0,04-16
490,1965.0,83752,1500,78435,3352,1023.0,36.0,-118.0,56.0,173.0,1.0,18.0,04-15
533,2025.0,83700,1464,78324,3351,1005.0,86.0,-76.0,103.0,179.0,0.0,-59.0,04-14
599,2108.0,83607,1378,78148,3351,1064.0,98.0,-5.0,125.0,128.0,2.0,61.0,04-13
